device_id,timestamp,temp_c,moisture,tds_ppm,water_dist_cm,water_low,salinity_ohm,salinity_type,water_temp_c,raw_json
esp32_dht22,617384,23.3,26.0,0.0,191.8,True,-1.0,Seawater,20.12,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""617384"", ""readings"": {""temp_c"": 23.3, ""moisture"": 26.0, ""tds_ppm"": 0.0, ""water_dist_cm"": 191.8, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 20.12}}"
esp32_dht22,631039,23.3,26.0,0.0,191.8,True,-1.0,Seawater,20.12,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""631039"", ""readings"": {""temp_c"": 23.3, ""moisture"": 26.0, ""tds_ppm"": 0.0, ""water_dist_cm"": 191.8, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 20.12}}"
esp32_dht22,644522,23.3,26.0,0.0,191.8,True,-1.0,Seawater,20.12,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""644522"", ""readings"": {""temp_c"": 23.3, ""moisture"": 26.0, ""tds_ppm"": 0.0, ""water_dist_cm"": 191.8, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 20.12}}"
esp32_dht22,658066,23.3,26.0,0.0,191.9,True,-1.0,Seawater,20.06,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""658066"", ""readings"": {""temp_c"": 23.3, ""moisture"": 26.0, ""tds_ppm"": 0.0, ""water_dist_cm"": 191.9, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 20.06}}"
esp32_dht22,671546,23.3,26.0,0.0,191.7,True,-1.0,Seawater,20.12,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""671546"", ""readings"": {""temp_c"": 23.3, ""moisture"": 26.0, ""tds_ppm"": 0.0, ""water_dist_cm"": 191.7, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 20.12}}"
esp32_dht22,685036,23.3,25.9,0.0,192.4,True,-1.0,Seawater,20.06,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""685036"", ""readings"": {""temp_c"": 23.3, ""moisture"": 25.9, ""tds_ppm"": 0.0, ""water_dist_cm"": 192.4, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 20.06}}"
esp32_dht22,698513,23.3,26.0,0.0,192.7,True,-1.0,Seawater,20.12,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""698513"", ""readings"": {""temp_c"": 23.3, ""moisture"": 26.0, ""tds_ppm"": 0.0, ""water_dist_cm"": 192.7, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 20.12}}"
esp32_dht22,711989,23.3,26.0,0.0,192.1,True,-1.0,Seawater,20.12,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""711989"", ""readings"": {""temp_c"": 23.3, ""moisture"": 26.0, ""tds_ppm"": 0.0, ""water_dist_cm"": 192.1, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 20.12}}"
esp32_dht22,725464,23.2,25.9,0.0,193.1,True,-1.0,Seawater,20.06,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""725464"", ""readings"": {""temp_c"": 23.2, ""moisture"": 25.9, ""tds_ppm"": 0.0, ""water_dist_cm"": 193.1, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 20.06}}"
esp32_dht22,738956,23.2,25.8,0.0,192.1,True,-1.0,Seawater,20.06,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""738956"", ""readings"": {""temp_c"": 23.2, ""moisture"": 25.8, ""tds_ppm"": 0.0, ""water_dist_cm"": 192.1, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 20.06}}"
esp32_dht22,752433,23.2,25.8,0.0,192.9,True,-1.0,Seawater,20.0,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""752433"", ""readings"": {""temp_c"": 23.2, ""moisture"": 25.8, ""tds_ppm"": 0.0, ""water_dist_cm"": 192.9, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 20.0}}"
esp32_dht22,766090,23.1,25.8,0.0,193.0,True,-1.0,Seawater,20.0,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""766090"", ""readings"": {""temp_c"": 23.1, ""moisture"": 25.8, ""tds_ppm"": 0.0, ""water_dist_cm"": 193.0, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 20.0}}"
esp32_dht22,779602,23.0,25.8,0.0,192.9,True,-1.0,Seawater,19.94,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""779602"", ""readings"": {""temp_c"": 23.0, ""moisture"": 25.8, ""tds_ppm"": 0.0, ""water_dist_cm"": 192.9, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 19.94}}"
esp32_dht22,793129,23.0,25.8,0.0,192.9,True,-1.0,Seawater,19.94,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""793129"", ""readings"": {""temp_c"": 23.0, ""moisture"": 25.8, ""tds_ppm"": 0.0, ""water_dist_cm"": 192.9, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 19.94}}"
esp32_dht22,806847,22.9,25.8,0.0,193.3,True,-1.0,Seawater,19.87,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""806847"", ""readings"": {""temp_c"": 22.9, ""moisture"": 25.8, ""tds_ppm"": 0.0, ""water_dist_cm"": 193.3, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 19.87}}"
esp32_dht22,820333,22.8,25.8,0.0,193.0,True,-1.0,Seawater,19.81,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""820333"", ""readings"": {""temp_c"": 22.8, ""moisture"": 25.8, ""tds_ppm"": 0.0, ""water_dist_cm"": 193.0, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 19.81}}"
